id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order
ms_modularFac,Modular Fabricators,80,45,,10,,ms_massIndustry,"heavyindustry, uses_blueprints, industry, industrial",,graphics/shi/icons/markets/ms_modularFac.png,data.campaign.econ.industries.MS_modularFac,"Centralized industrial complexes of modular fabricators for the production of heavy industrial equipment, supplies, and weapons. An older technology that predates the first nanoforges, modular fabricators had to be able to produce components to a higher standard than most heavy industrial setups common to the sector, but ships produced with such equipment are often only marginally more spaceworthy than normal; a nanoforge can be installed to improve production quality, by due to the less compatible setup the benefit is halved.",160
ms_massIndustry,Massively Parallel Fabricators,45,45,,10,ms_modularFac,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/shi/icons/markets/ms_modularFac.png,data.campaign.econ.industries.MS_modularFac,"Centralized industrial complexes of modular fabricators for the production of heavy industrial equipment, supplies, and weapons. An older technology that predates the first nanoforges, modular fabricators had to be able to produce components to a higher standard than most heavy industrial setups common to the sector, but ships produced with such equipment are often only marginally more spaceworthy than normal; a nanoforge can be installed to improve production quality, by due to the less compatible setup the benefit is halved.

Massive expansion of the industrial network and integrated orbital manufacturing further facilitates ship construction, resulting in fewer manufacturing defects.",160
ms_supersolar,Massive Solar Collectors,30,30,,2,,,"power, industry",,graphics/shi/icons/markets/ms_supersolar.png,data.campaign.econ.industries.MS_supersolar,"A planet encircling orbital solar collection plant, with skilled workers to handle the charging of High Capacitance Storage.  Requires heavy machinery to replace worn equipment.",185
ms_medCenter,Medical Center,45,30,,4,,,"medical, structure",,graphics/shi/icons/markets/ms_medCenter.png,data.campaign.econ.industries.MS_medCenter,A sophisticated medical facility capable of providing some of the best medical care available in the Sector.,270
ms_radiationAbsorbers,Radiation Absorbers,9999,9999,,13,,,"important, unraidable, structure",,graphics/shi/icons/markets/ms_radiationAbsorbers.png,data.campaign.econ.industries.MS_radiationAbsorbers,"An arcane and esoteric piece of Domain technology that absorbs radiation through unknown means, making the vicinity safe for human habitation; installed in numbers and sufficiently distributed they can gradually render irradiated worlds safe for human habitation.",300
,,,,,,,,,,,,,
ms_orbitalstation,Orbital Station - Shadowyards,50,60,,3,,ms_battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:ms_station1_SRA_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,data.campaign.econ.industries.MS_orbitalStationChecker,"A shadowyards space station, featuring moderate firepower and heavy fighter defenses.

Must be reduced before invasions or bombardment can be attempted.",2010
ms_battlestation,Battlestation - Shadowyards,100,120,,4,ms_orbitalstation,ms_starfortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:ms_station2_SRA_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A space station, augmented with a pair of support batteries featuring moderate armaments and a fighter squadron.

Must be reduced before invasions or bombardment can be attempted.",2020
ms_starfortress,Star Fortress - Shadowyards,200,180,,5,ms_battlestation,,"station, starfortress, unraidable, structure","{
radius:70,
variant:ms_station3_SRA_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A battlestation that has been enhanced with a mixture of heavy armor and a superheavy weapons battery, featuring Upelluri-class defense drones and an extensive minefield.

Must be reduced before invasions or bombardment can be attempted.",2030
,,,,,,,,,,,,,
heavyindustry,Heavy Industry,100,60,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,data.campaign.econ.industries.MS_heavyIndustryChecker,"Centralized manufacturing infrastructure for production of heavy industrial equipment, supplies, and weapons. Also capable of producing barely-spaceworthy starships; a nanoforge can be installed to improve production quality.",1600
orbitalworks,Orbital Works,60,60,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,data.campaign.econ.industries.MS_heavyIndustryChecker,"Centralized manufacturing infrastructure for production of heavy industrial equipment, supplies, and weapons. Also capable of producing barely-spaceworthy starships; a nanoforge can be installed to improve production quality.

Upgraded with an orbital component that further facilitates ship construction, resulting in fewer manufacturing defects.",1700
